,M4_H4
11/12/2018 01:00,5436
11/12/2018 02:00,5082
11/12/2018 03:00,4580
11/12/2018 04:00,4098
11/12/2018 05:00,3747
11/12/2018 06:00,3489
11/12/2018 07:00,3280
11/12/2018 08:00,3168
11/12/2018 09:00,3157
11/12/2018 10:00,3193
11/12/2018 11:00,3312
11/12/2018 12:00,3481
11/12/2018 13:00,3659
11/12/2018 14:00,3876
11/12/2018 15:00,4092
11/12/2018 16:00,4289
11/12/2018 17:00,4489
11/12/2018 18:00,4725
11/12/2018 19:00,4950
11/12/2018 20:00,5124
11/12/2018 21:00,5246
11/12/2018 22:00,5290
11/12/2018 23:00,5144
12/12/2018 00:00,4962
12/12/2018 01:00,4842
12/12/2018 02:00,4559
12/12/2018 03:00,4161
12/12/2018 04:00,3764
12/12/2018 05:00,3485
12/12/2018 06:00,3243
12/12/2018 07:00,3081
12/12/2018 08:00,3003
12/12/2018 09:00,3003
12/12/2018 10:00,3047
12/12/2018 11:00,3183
12/12/2018 12:00,3425
12/12/2018 13:00,3659
12/12/2018 14:00,3859
12/12/2018 15:00,4123
12/12/2018 16:00,4356
12/12/2018 17:00,4541
12/12/2018 18:00,4806
12/12/2018 19:00,5057
12/12/2018 20:00,5269
12/12/2018 21:00,5401
12/12/2018 22:00,5446
12/12/2018 23:00,5291
13/12/2018 00:00,5111
13/12/2018 01:00,4995
13/12/2018 02:00,4761
13/12/2018 03:00,4411
13/12/2018 04:00,4051
13/12/2018 05:00,3784
13/12/2018 06:00,3589
13/12/2018 07:00,3434
13/12/2018 08:00,3338
13/12/2018 09:00,3288
13/12/2018 10:00,3216
13/12/2018 11:00,3238
13/12/2018 12:00,3438
13/12/2018 13:00,3739
13/12/2018 14:00,4042
13/12/2018 15:00,4396
13/12/2018 16:00,4725
13/12/2018 17:00,4933
13/12/2018 18:00,5113
13/12/2018 19:00,5273
13/12/2018 20:00,5433
13/12/2018 21:00,5551
13/12/2018 22:00,5590
13/12/2018 23:00,5471
14/12/2018 00:00,5178
14/12/2018 01:00,5000
14/12/2018 02:00,4715
14/12/2018 03:00,4339
14/12/2018 04:00,3975
14/12/2018 05:00,3667
14/12/2018 06:00,3438
14/12/2018 07:00,3264
14/12/2018 08:00,3125
14/12/2018 09:00,3035
14/12/2018 10:00,2962
14/12/2018 11:00,2983
14/12/2018 12:00,3195
14/12/2018 13:00,3472
14/12/2018 14:00,3774
14/12/2018 15:00,4120
14/12/2018 16:00,4508
14/12/2018 17:00,4872
14/12/2018 18:00,5189
14/12/2018 19:00,5428
14/12/2018 20:00,5620
14/12/2018 21:00,5741
14/12/2018 22:00,5746
14/12/2018 23:00,5600
15/12/2018 00:00,5430
15/12/2018 01:00,5275
15/12/2018 02:00,4954
15/12/2018 03:00,4555
15/12/2018 04:00,4200
15/12/2018 05:00,3917
15/12/2018 06:00,3710
15/12/2018 07:00,3554
15/12/2018 08:00,3464
15/12/2018 09:00,3496
15/12/2018 10:00,3574
15/12/2018 11:00,3727
15/12/2018 12:00,3962
15/12/2018 13:00,4202
15/12/2018 14:00,4427
15/12/2018 15:00,4740
15/12/2018 16:00,5111
15/12/2018 17:00,5428
15/12/2018 18:00,5753
15/12/2018 19:00,6049
15/12/2018 20:00,6275
15/12/2018 21:00,6389
15/12/2018 22:00,6350
15/12/2018 23:00,6144
16/12/2018 00:00,5910
16/12/2018 01:00,5722
16/12/2018 02:00,5362
16/12/2018 03:00,4937
16/12/2018 04:00,4568
16/12/2018 05:00,4222
16/12/2018 06:00,4022
16/12/2018 07:00,3849
16/12/2018 08:00,3757
16/12/2018 09:00,3751
16/12/2018 10:00,3790
16/12/2018 11:00,3872
16/12/2018 12:00,3997
16/12/2018 13:00,4238
16/12/2018 14:00,4538
16/12/2018 15:00,4876
16/12/2018 16:00,5201
16/12/2018 17:00,5482
16/12/2018 18:00,5776
16/12/2018 19:00,6056
16/12/2018 20:00,6299
16/12/2018 21:00,6389
16/12/2018 22:00,6367
16/12/2018 23:00,6217
17/12/2018 00:00,5984
17/12/2018 01:00,5804
17/12/2018 02:00,5472
17/12/2018 03:00,5017
17/12/2018 04:00,4580
17/12/2018 05:00,4275
17/12/2018 06:00,4030
17/12/2018 07:00,
17/12/2018 08:00,3745
17/12/2018 09:00,3715
17/12/2018 10:00,3740
17/12/2018 11:00,3868
17/12/2018 12:00,4090
17/12/2018 13:00,4354
17/12/2018 14:00,4581
17/12/2018 15:00,4860
17/12/2018 16:00,5116
17/12/2018 17:00,5322
17/12/2018 18:00,5616
17/12/2018 19:00,5864
17/12/2018 20:00,6091
17/12/2018 21:00,6244
17/12/2018 22:00,6278
17/12/2018 23:00,6131
18/12/2018 00:00,5918
18/12/2018 01:00,5766
18/12/2018 02:00,5454
18/12/2018 03:00,5034
18/12/2018 04:00,4599
18/12/2018 05:00,4248
18/12/2018 06:00,3982
18/12/2018 07:00,3775
18/12/2018 08:00,3655
18/12/2018 09:00,3633
18/12/2018 10:00,3669
18/12/2018 11:00,3813
18/12/2018 12:00,4089
18/12/2018 13:00,4355
18/12/2018 14:00,
18/12/2018 15:00,4932
18/12/2018 16:00,5216
18/12/2018 17:00,5472
18/12/2018 18:00,5760
18/12/2018 19:00,6003
18/12/2018 20:00,6228
18/12/2018 21:00,6371
18/12/2018 22:00,6400
18/12/2018 23:00,6239
19/12/2018 00:00,6013
19/12/2018 01:00,5857
19/12/2018 02:00,5511
19/12/2018 03:00,5041
19/12/2018 04:00,4681
19/12/2018 05:00,4361
19/12/2018 06:00,4102
19/12/2018 07:00,3897
19/12/2018 08:00,3761
19/12/2018 09:00,3741
19/12/2018 10:00,3774
19/12/2018 11:00,3893
19/12/2018 12:00,4075
19/12/2018 13:00,4326
19/12/2018 14:00,4588
19/12/2018 15:00,4871
19/12/2018 16:00,5145
19/12/2018 17:00,5308
19/12/2018 18:00,5517
19/12/2018 19:00,5687
19/12/2018 20:00,5843
19/12/2018 21:00,5970
19/12/2018 22:00,5842
19/12/2018 23:00,5537
20/12/2018 00:00,5410
20/12/2018 01:00,5303
20/12/2018 02:00,5010
20/12/2018 03:00,4604
20/12/2018 04:00,4225
20/12/2018 05:00,3947
20/12/2018 06:00,3733
20/12/2018 07:00,3569
20/12/2018 08:00,3462
20/12/2018 09:00,3418
20/12/2018 10:00,3391
20/12/2018 11:00,3378
20/12/2018 12:00,3588
20/12/2018 13:00,3812
20/12/2018 14:00,4069
20/12/2018 15:00,4384
20/12/2018 16:00,4658
20/12/2018 17:00,4868
20/12/2018 18:00,5094
20/12/2018 19:00,5285
20/12/2018 20:00,5256
20/12/2018 21:00,4950
20/12/2018 22:00,4687
20/12/2018 23:00,4493
21/12/2018 00:00,4396
21/12/2018 01:00,4358
21/12/2018 02:00,4164
21/12/2018 03:00,3879
21/12/2018 04:00,3628
21/12/2018 05:00,3409
21/12/2018 06:00,3239
21/12/2018 07:00,3137
21/12/2018 08:00,3037
21/12/2018 09:00,3042
21/12/2018 10:00,3005
21/12/2018 11:00,2984
21/12/2018 12:00,3162
21/12/2018 13:00,3408
21/12/2018 14:00,3655
21/12/2018 15:00,3940
21/12/2018 16:00,4212
21/12/2018 17:00,4451
21/12/2018 18:00,4672
21/12/2018 19:00,4884
21/12/2018 20:00,5064
21/12/2018 21:00,5235
21/12/2018 22:00,5277
21/12/2018 23:00,5143
22/12/2018 00:00,5035
22/12/2018 01:00,4984
22/12/2018 02:00,4744
22/12/2018 03:00,4406
22/12/2018 04:00,4056
22/12/2018 05:00,
22/12/2018 06:00,3582
22/12/2018 07:00,3460
22/12/2018 08:00,3384
22/12/2018 09:00,3432
22/12/2018 10:00,3537
22/12/2018 11:00,3682
22/12/2018 12:00,3850
22/12/2018 13:00,4065
22/12/2018 14:00,4324
22/12/2018 15:00,4662
22/12/2018 16:00,4916
22/12/2018 17:00,5108
22/12/2018 18:00,5314
22/12/2018 19:00,5526
22/12/2018 20:00,5718
22/12/2018 21:00,5819
22/12/2018 22:00,5846
22/12/2018 23:00,5718
23/12/2018 00:00,5541
23/12/2018 01:00,5427
23/12/2018 02:00,5122
23/12/2018 03:00,4681
23/12/2018 04:00,4270
23/12/2018 05:00,3966
23/12/2018 06:00,3750
23/12/2018 07:00,3587
23/12/2018 08:00,3485
23/12/2018 09:00,3493
23/12/2018 10:00,3556
23/12/2018 11:00,3712
23/12/2018 12:00,3992
23/12/2018 13:00,4232
23/12/2018 14:00,4507
23/12/2018 15:00,4824
23/12/2018 16:00,5145
23/12/2018 17:00,5402
23/12/2018 18:00,5666
23/12/2018 19:00,5903
23/12/2018 20:00,6058
23/12/2018 21:00,6162
23/12/2018 22:00,6185
23/12/2018 23:00,6039
24/12/2018 00:00,5811
24/12/2018 01:00,5624
24/12/2018 02:00,5292
24/12/2018 03:00,4855
24/12/2018 04:00,4453
24/12/2018 05:00,4133
24/12/2018 06:00,3857
24/12/2018 07:00,3677
24/12/2018 08:00,3531
24/12/2018 09:00,3499
24/12/2018 10:00,3541
24/12/2018 11:00,3649
24/12/2018 12:00,3868
24/12/2018 13:00,4105
24/12/2018 14:00,4315
24/12/2018 15:00,4582
24/12/2018 16:00,4849
24/12/2018 17:00,5078
24/12/2018 18:00,5327
24/12/2018 19:00,5582
24/12/2018 20:00,5810
24/12/2018 21:00,5978
24/12/2018 22:00,6035
24/12/2018 23:00,5913
25/12/2018 00:00,5718
25/12/2018 01:00,5557
25/12/2018 02:00,5261
25/12/2018 03:00,4824
25/12/2018 04:00,4390
25/12/2018 05:00,4012
25/12/2018 06:00,3765
25/12/2018 07:00,3549
25/12/2018 08:00,3418
25/12/2018 09:00,3392
25/12/2018 10:00,3441
25/12/2018 11:00,3561
25/12/2018 12:00,3787
25/12/2018 13:00,4020
25/12/2018 14:00,4273
25/12/2018 15:00,4558
25/12/2018 16:00,4801
25/12/2018 17:00,5006
25/12/2018 18:00,5275
25/12/2018 19:00,5522
25/12/2018 20:00,5764
25/12/2018 21:00,5907
25/12/2018 22:00,5980
25/12/2018 23:00,5855
26/12/2018 00:00,5680
26/12/2018 01:00,5563
26/12/2018 02:00,5291
26/12/2018 03:00,4918
26/12/2018 04:00,4513
26/12/2018 05:00,4226
26/12/2018 06:00,4009
26/12/2018 07:00,3822
26/12/2018 08:00,3736
26/12/2018 09:00,3747
26/12/2018 10:00,3834
26/12/2018 11:00,
26/12/2018 12:00,4051
26/12/2018 13:00,4218
26/12/2018 14:00,4466
26/12/2018 15:00,4711
26/12/2018 16:00,4946
26/12/2018 17:00,5158
26/12/2018 18:00,5380
26/12/2018 19:00,5638
26/12/2018 20:00,5852
26/12/2018 21:00,6051
26/12/2018 22:00,6053
26/12/2018 23:00,5891
27/12/2018 00:00,5657
27/12/2018 01:00,5450
27/12/2018 02:00,
27/12/2018 03:00,
27/12/2018 04:00,4377
27/12/2018 05:00,4054
27/12/2018 06:00,3779
27/12/2018 07:00,3583
27/12/2018 08:00,3449
27/12/2018 09:00,3370
27/12/2018 10:00,3327
27/12/2018 11:00,3302
27/12/2018 12:00,3469
27/12/2018 13:00,3816
27/12/2018 14:00,4171
27/12/2018 15:00,4566
27/12/2018 16:00,4925
27/12/2018 17:00,5250
27/12/2018 18:00,5576
27/12/2018 19:00,5815
27/12/2018 20:00,5998
27/12/2018 21:00,6109
27/12/2018 22:00,6126
27/12/2018 23:00,5979
28/12/2018 00:00,5674
28/12/2018 01:00,5415
28/12/2018 02:00,5040
28/12/2018 03:00,4642
28/12/2018 04:00,4265
28/12/2018 05:00,3945
28/12/2018 06:00,
28/12/2018 07:00,3468
28/12/2018 08:00,3327
28/12/2018 09:00,3265
28/12/2018 10:00,3212
28/12/2018 11:00,3185
28/12/2018 12:00,3355
28/12/2018 13:00,3626
28/12/2018 14:00,3921
28/12/2018 15:00,4287
28/12/2018 16:00,4656
28/12/2018 17:00,5029
28/12/2018 18:00,
28/12/2018 19:00,5668
28/12/2018 20:00,5906
28/12/2018 21:00,6086
28/12/2018 22:00,6139
28/12/2018 23:00,6001
29/12/2018 00:00,5737
29/12/2018 01:00,5554
29/12/2018 02:00,5218
29/12/2018 03:00,4765
29/12/2018 04:00,4358
29/12/2018 05:00,4074
29/12/2018 06:00,3869
29/12/2018 07:00,3695
29/12/2018 08:00,3576
29/12/2018 09:00,3547
29/12/2018 10:00,3612
29/12/2018 11:00,3737
29/12/2018 12:00,4022
29/12/2018 13:00,4287
29/12/2018 14:00,4553
29/12/2018 15:00,4847
29/12/2018 16:00,5136
29/12/2018 17:00,5372
29/12/2018 18:00,5689
29/12/2018 19:00,5966
29/12/2018 20:00,6184
29/12/2018 21:00,6328
29/12/2018 22:00,6369
29/12/2018 23:00,6212
30/12/2018 00:00,5995
30/12/2018 01:00,5817
30/12/2018 02:00,5467
30/12/2018 03:00,5003
30/12/2018 04:00,4617
30/12/2018 05:00,4323
30/12/2018 06:00,4066
30/12/2018 07:00,3898
30/12/2018 08:00,3794
30/12/2018 09:00,3794
30/12/2018 10:00,3870
30/12/2018 11:00,3977
30/12/2018 12:00,4140
30/12/2018 13:00,
30/12/2018 14:00,
30/12/2018 15:00,4886
30/12/2018 16:00,5156
30/12/2018 17:00,5391
30/12/2018 18:00,5684
30/12/2018 19:00,5973
30/12/2018 20:00,6230
30/12/2018 21:00,6388
30/12/2018 22:00,6315
30/12/2018 23:00,6125
31/12/2018 00:00,6029
31/12/2018 01:00,5937
31/12/2018 02:00,5646
31/12/2018 03:00,5210
31/12/2018 04:00,4787
31/12/2018 05:00,4446
31/12/2018 06:00,4178
31/12/2018 07:00,3979
31/12/2018 08:00,3876
31/12/2018 09:00,3858
31/12/2018 10:00,3931
31/12/2018 11:00,4035
31/12/2018 12:00,4179
31/12/2018 13:00,4307
31/12/2018 14:00,4460
31/12/2018 15:00,4635
31/12/2018 16:00,4831
31/12/2018 17:00,4997
31/12/2018 18:00,5167
31/12/2018 19:00,5333
31/12/2018 20:00,5563
31/12/2018 21:00,5739
31/12/2018 22:00,5760
31/12/2018 23:00,5562
01/01/2019 00:00,5481
